CMAES_ACC gen=107 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=108 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=109 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=110 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=111 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=112 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=113 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=114 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=115 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=116 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=117 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=118 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=119 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=120 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=121 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=122 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=123 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=124 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=125 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=126 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=127 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
